V real;V medido;angulo
4.138;3.795;-6.685744156
4.138;3.78;-6.510721552
4.138;3.76;-6.232204222
4.138;3.748;-6.459904259
4.138;3.728;-6.485879037
4.138;3.71;-6.232204222
4.138;3.689;-6.458595379
4.138;3.668;-6.46220982
4.138;3.658;-6.256110806
4.138;3.633;-6.257287775
4.138;3.618;-6.232204222
4.138;3.602;-6.233266545
4.138;3.58;-6.25836298
4.138;3.569;-6.488212532
4.138;3.548;-6.003099404
4.138;3.535;-6.25836298
4.138;3.512;-6.231041348
4.138;3.496;-6.488212532
4.138;3.482;-6.257287775
4.138;3.461;-6.233266545
4.138;3.45;-6.004123259
4.138;3.436;-6.003099404
4.138;3.415;-6.232204222
4.138;3.398;-6.514424267
4.138;3.379;-6.004123259
4.138;3.367;-6.25836298
4.138;3.35;-6.231041348
4.138;3.33;-6.233266545
4.138;3.311;-6.027274734
4.138;3.294;-6.25836298
4.138;3.283;-6.484554308
4.138;3.263;-6.003099404
4.138;3.248;-6.233266545
4.138;3.23;-6.233266545
4.138;3.216;-6.231041348
4.138;3.199;-6.233266545
4.138;3.182;-6.233266545
4.138;3.163;-6.25836298
4.138;3.152;-6.028311011
4.138;3.134;-6.233266545
4.138;3.121;-6.257287775
4.138;3.118;-6.716699804
4.138;3.121;-5.797066536
4.138;3.121;-6.25836298
4.138;3.125;-6.003099404
4.138;3.132;-6.25836298
4.138;3.13;-6.028311011
4.138;3.137;-6.259336261
4.138;3.144;-6.459904259
4.138;3.146;-6.25836298
4.138;3.147;-6.231041348
4.138;3.155;-5.773801752
4.138;3.157;-6.25836298
4.138;3.166;-6.233266545
4.138;3.167;-6.004123259
4.138;3.17;-5.798966503
4.138;3.172;-6.028311011
4.138;3.178;-5.773801752
4.138;3.183;-6.004123259
4.138;3.188;-6.028311011
4.138;3.183;-6.052693539
4.138;3.189;-6.005879659
4.138;3.194;-7.592086755
4.138;3.192;-9.188511828
4.138;3.192;-9.720671048
4.138;3.194;-9.794713586
4.138;3.196;-9.751510964
4.138;3.196;-9.786286084
4.138;3.196;-9.974739542
4.138;3.19;-10.20632229
4.138;3.19;-9.755597069
4.138;3.197;-10.43760452
4.138;3.186;-9.716787087
4.138;3.188;-9.983253049
4.138;3.182;-9.755597069
4.138;3.175;-9.983253049
4.138;3.175;-9.602161286
4.138;3.167;-10.47933708
4.138;3.168;-9.320854495
4.138;3.163;-9.670149364
4.138;3.163;-9.406851061
4.138;3.157;-10.28373234
4.138;3.153;-10.50252624
4.138;3.153;-10.38278507
4.138;3.152;-15.94601734
4.138;3.147;-10.19254827
4.138;3.138;-10.65043265
4.138;3.132;-10.47034608
4.138;3.126;-10.46560057
4.138;3.127;-10.51229947
4.138;3.119;-10.42872043
4.138;3.115;-10.41917828
4.138;3.11;-10.46560057
4.138;3.11;-10.42403128
4.138;3.108;-10.19254827
4.138;3.099;-10.41917828
4.138;3.094;-10.46560057
4.138;3.086;-10.47034608
4.138;3.077;-10.47034608
4.138;3.077;-10.74525897
4.138;3.071;-10.47034608
4.138;3.063;-10.65043265
4.138;3.059;-10.47034608
4.138;3.054;-10.65043265
4.138;3.048;-10.47034608
4.138;3.043;-10.88138109
4.138;3.034;-10.4606893
4.138;3.033;-10.47034608
4.138;3.032;-10.65043265
4.138;3.023;-10.46560057
4.138;3.018;-10.47034608
4.138;3.009;-10.50749671
4.138;3.006;-10.46560057
4.138;2.998;-10.24265139
4.138;2.993;-10.42403128
4.138;2.988;-10.42403128
4.138;2.98;-10.42872043
4.138;2.976;-10.42403128
4.138;2.973;-10.42403128
4.138;2.959;-10.42403128
4.138;2.959;-10.42872043
4.138;2.948;-10.41917828
4.138;2.949;-10.42872043
4.138;2.939;-10.41917828
4.138;2.929;-10.47034608
4.138;2.92;-10.60833156
4.138;2.915;-10.42403128
4.138;2.911;-10.65043265
4.138;2.909;-10.42403128
4.138;2.9;-10.42872043
4.138;2.896;-10.4606893
4.138;2.898;-10.19254827
4.138;2.895;-10.28373234
4.138;2.892;-10.46560057
4.138;2.889;-10.42872043
4.138;2.889;-10.42872043
4.138;2.887;-10.137185
